theme,url,img,lines,author
INCLUSION,/inspirational-quotes/8427-we-should-indeed-keep-calm-in-the-face-of,https://assets.passiton.com/quotes/quote_artwork/8427/medium/20240510_friday_quote.jpg,"We should indeed keep calm in the face of difference, and live our lives in a state of inclusion and wonder at the diversity of humanity.",<Author:0x00007fe7020bba08>
INCLUSION,/inspirational-quotes/7966-we-all-came-in-on-different-ships-but-were-all,https://assets.passiton.com/quotes/quote_artwork/7966/medium/20240509_thursday_quote.jpg,"We all came in on different ships, but we're all in the same boat now.",<Author:0x00007fe702123108>
INCLUSION,/inspirational-quotes/8383-strength-lies-in-differences-not-in-similarities,https://assets.passiton.com/quotes/quote_artwork/8383/medium/20240508_wednesday_quote.jpg,"Strength lies in differences, not in similarities.",<Author:0x00007fe702109d20>
INCLUSION,/inspirational-quotes/8382-i-believe-that-we-are-here-for-each-other-not,https://assets.passiton.com/quotes/quote_artwork/8382/medium/20240507_tuesday_quote.jpg,"I believe that we are here for each other, not against each other.",<Author:0x00007fe70215b530>
INCLUSION,/inspirational-quotes/8384-every-individual-matters-every-individual-has,https://assets.passiton.com/quotes/quote_artwork/8384/medium/20240506_monday_quote.jpg,Every individual matters. Every individual has a role to play. Every individual makes a difference.,<Author:0x00007fe702148a20>
LISTENING,/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act,https://assets.passiton.com/quotes/quote_artwork/8083/medium/20240503_friday_quote.jpg,Listen with curiosity. Speak with honesty. Act with integrity.,<Author:0x00007fe702199790>
LISTENING,/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20240502_thursday_quote.jpg,The most basic and powerful way to connect to another person is to listen. Just listen.,<Author:0x00007fe702182680>
LISTENING,/inspirational-quotes/7883-deep-listening-is-the-kind-of-listening-that,https://assets.passiton.com/quotes/quote_artwork/7883/medium/20240501_wednesday_quote.jpg,Deep listening is the kind of listening that can help relieve the suffering of another person.,<Author:0x00007fe702169fe0>
LISTENING,/inspirational-quotes/8426-i-m-a-very-strong-believer-in-listening-and,https://assets.passiton.com/quotes/quote_artwork/8426/medium/20240430_tuesday_quote.jpg,I’m a very strong believer in listening and learning from others.,<Author:0x00007fe7021c1560>
LISTENING,/inspirational-quotes/7608-listening-is-where-love-begins-listening-to,https://assets.passiton.com/quotes/quote_artwork/7608/medium/20240429_monday_quote.jpg,Listening is where love begins: listening to ourselves and then to our neighbors.,<Author:0x00007fe7021aa8d8>
COURTESY,/inspirational-quotes/5364-all-doors-open-to-courtesy,https://assets.passiton.com/quotes/quote_artwork/5364/medium/20240426_friday_quote.jpg,"All doors open to courtesy.
",<Author:0x00007fe7021fb9b8>
COURTESY,/inspirational-quotes/8116-real-strength-entails-being-considerate-and,https://assets.passiton.com/quotes/quote_artwork/8116/medium/20240425_thursday_quote.jpg,Real strength entails being considerate and supportive of people's feelings.,<Author:0x00007fe7021e9448>
COURTESY,/inspirational-quotes/8119-life-is-short-but-there-is-always-time-enough,https://assets.passiton.com/quotes/quote_artwork/8119/medium/20240424_wednesday_quote.jpg,Life is short but there is always time enough for courtesy.,<Author:0x00007fe70223ec90>
COURTESY,/inspirational-quotes/3840-the-small-courtesies-sweeten-life-the-greater,https://assets.passiton.com/quotes/quote_artwork/3840/medium/20240423_tuesday_quote.jpg,"The small courtesies sweeten life; the greater, ennoble it.",<Author:0x00007fe702227c48>
COURTESY,/inspirational-quotes/8117-take-care-be-kind-be-considerate-of-other,https://assets.passiton.com/quotes/quote_artwork/8117/medium/20240422_monday_quote.jpg,"Take care, be kind, be considerate of other people and other species, and be loving.",<Author:0x00007fe7022102f0>
HELPING OTHERS,/inspirational-quotes/6985-be-a-lamp-or-a-lifeboat-or-a-ladder-help,https://assets.passiton.com/quotes/quote_artwork/6985/medium/20240419_friday_quote.jpg,"Be a lamp, or a lifeboat, or a ladder. Help someone’s soul heal.",<Author:0x00007fe70225fc10>
HELPING OTHERS,/inspirational-quotes/8425-the-fastest-route-to-greater-happiness-is,https://assets.passiton.com/quotes/quote_artwork/8425/medium/20240418_thursday_quote.jpg,The fastest route to greater happiness is giving and volunteering.,<Author:0x00007fe70224cd18>
HELPING OTHERS,/inspirational-quotes/4470-an-essential-part-of-a-happy-healthy-life-is,https://assets.passiton.com/quotes/quote_artwork/4470/medium/20240417_wednesday_quote.jpg,"An essential part of a happy, healthy life is being of service to others. ",<Author:0x00007fe702297020>
HELPING OTHERS,/inspirational-quotes/7235-there-is-no-exercise-better-for-the-heart-than,https://assets.passiton.com/quotes/quote_artwork/7235/medium/20240416_tuesday_quote.jpg,There is no exercise better for the heart than reaching down and lifting people up.,<Author:0x00007fe70227fe20>
HELPING OTHERS,/inspirational-quotes/3700-great-opportunities-to-help-others-seldom-come,https://assets.passiton.com/quotes/quote_artwork/3700/medium/20240415_monday_quote.jpg,"Great opportunities to help others seldom come, but small ones surround us every day.",<Author:0x00007fe7022cdb48>
TRUE BEAUTY,/inspirational-quotes/7604-if-you-see-something-beautiful-in-someone,https://assets.passiton.com/quotes/quote_artwork/7604/medium/20240412_friday_quote.jpg,"If you see something beautiful in someone, speak it!",<Author:0x00007fe7022b7028>
TRUE BEAUTY,/inspirational-quotes/7260-beauty-is-not-in-the-face-beauty-is-a-light-in,https://assets.passiton.com/quotes/quote_artwork/7260/medium/20240411_thursday_quote.jpg,Beauty is not in the face; beauty is a light in the heart.,<Author:0x00007fe7022a46d0>
TRUE BEAUTY,/inspirational-quotes/7603-i-cant-think-of-any-better-representation-of,https://assets.passiton.com/quotes/quote_artwork/7603/medium/20240410_wednesday_quote.jpg,I can't think of any better representation of beauty than someone who is unafraid to be herself.,<Author:0x00007fe70150e340>
TRUE BEAUTY,/inspirational-quotes/7540-the-sign-of-a-beautiful-person-is-that-they,https://assets.passiton.com/quotes/quote_artwork/7540/medium/20240409_tuesday_quote.jpg,The sign of a beautiful person is that they always see beauty in others.,<Author:0x00007fe7022d7990>
TRUE BEAUTY,/inspirational-quotes/7746-beauty-begins-the-moment-you-decide-to-be,https://assets.passiton.com/quotes/quote_artwork/7746/medium/20240408_monday_quote.jpg,Beauty begins the moment you decide to be yourself.,<Author:0x00007fe7023c57f8>
CHARITY,/inspirational-quotes/8424-be-good-for-something-while-you-live-and-it-is,https://assets.passiton.com/quotes/quote_artwork/8424/medium/20240405_friday_quote.jpg,Be good for something while you live and it is in your power.,<Author:0x00007fe7023af638>
CHARITY,/inspirational-quotes/7849-the-unselfish-effort-to-bring-cheer-to-others,https://assets.passiton.com/quotes/quote_artwork/7849/medium/20240404_thursday_quote.jpg,The unselfish effort to bring cheer to others will be the beginning of a happier life for ourselves.,<Author:0x00007fe702408260>
CHARITY,/inspirational-quotes/8399-as-we-work-to-create-light-for-others-we,https://assets.passiton.com/quotes/quote_artwork/8399/medium/20240403_wednesday_quote.jpg,"As we work to create light for others, we naturally light our own way.",<Author:0x00007fe7023f1a38>
CHARITY,/inspirational-quotes/8423-you-have-not-lived-today-until-you-have-done,https://assets.passiton.com/quotes/quote_artwork/8423/medium/20240402_tuesday_quote.jpg,You have not lived today until you have done something for someone who can never repay you.,<Author:0x00007fe70243bf20>
CHARITY,/inspirational-quotes/7630-those-who-are-happiest-are-those-who-do-the,https://assets.passiton.com/quotes/quote_artwork/7630/medium/20240401_monday_quote.jpg,Those who are happiest are those who do the most for others.,<Author:0x00007fe702429be0>
PEACE,/inspirational-quotes/7583-peace-begins-with-a-smile,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20240329_friday_quote.jpg,Peace begins with a smile.,<Author:0x00007fe702412cb0>
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20240328_thursday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow.,<Author:0x00007fe702460a78>
PEACE,/inspirational-quotes/7429-peace-like-charity-begins-at-home,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20240327_wednesday_quote.jpg,"Peace, like charity, begins at home.",<Author:0x00007fe702449b70>
